,speed,lightning,age,gender,veg,exercise,muscle,stress,heart,pscore
0,274.2690590993501,1,63.004404556759944,0,1,6.365459210382875,0.26462370413260716,7.150979079117745,100.16867203505039,0.9606604590769751
1,282.92907387998196,0,13.937485929381786,0,1,3.125873245923285,0.5299768459617349,4.23502659871496,102.89554849207299,0.6089152021375367
2,328.877281654708,1,20.36729687029573,0,1,5.4546401848580395,7.877628880457679,2.8599747969238463,119.96100581701855,0.24718996830985687
3,269.12739969143524,0,29.397126188633635,1,0,5.939025978478383,2.4534071040477357,8.839138529486034,97.86333866003469,0.6126118596097088
4,294.82658215628425,1,47.4893799554106,0,1,5.51639991850903,2.350136383781468,4.877756904822393,107.62893937981408,0.8709732848183821
5,260.80194258144564,1,44.397693449688965,0,1,0.7123875473232955,3.8511483473180386,9.032962976315902,95.24492773638923,0.9364166174047811
6,274.721286928532,1,56.10914952183626,1,1,2.8347605407098575,6.436938319426801,9.119494733410807,100.36602420663712,0.9167974798424962
7,274.448098089937,1,32.03127616394862,0,1,2.3042433859754983,2.209432785951072,7.108174429737266,100.15416959771579,0.841787744463847
8,302.305011846316,1,10.182370719869745,1,1,9.6126350224941,5.313206578617904,8.891505025049812,110.30657665918797,0.06656666531844925
9,325.5149731119624,1,12.550871091857452,1,1,0.06622495619700519,9.972867574816576,2.4973954662004196,118.75872291262043,0.3418362449660452
10,315.64167521051706,0,48.88271763468414,1,1,7.748809477419201,8.255435514976634,4.265999864902376,114.7657152915495,0.5440533231346086
11,298.77479036162947,1,43.157522470747416,0,1,0.5754430414916056,5.404161195004687,3.4434411710108606,109.12386908699877,0.9159420007654294
12,282.9462828640678,0,26.717153722216793,0,0,4.7056901833146805,1.3818277353320552,4.996652592206402,102.84746845811516,0.7125196564571481
13,286.7750421220975,1,50.77151805781908,1,0,1.0669842641771254,2.3763299651981673,4.436393977266401,104.65034110366824,0.9694903541684761
14,291.03950487898265,0,31.87922382848492,0,1,7.0478672683514425,7.269801709427998,7.582378800904273,105.88905535965165,0.3415873517641575
